number,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",,253.84
2,Western Digital,,169.37
3,Seagate Technology,,148.6
4,Micron Technology,,140.36
5,Palantir Technologies,,140
6,Newmont,,131.92
7,Lam Research,,100.8
8,Advanced Micro Devices,,97.06
9,Warner Bros. Discovery,,92.34
10,Intel,,90.12
11,CVS Health,,84.99
12,GE Aerospace,,83.84
13,KLA Corporation,,82.1
14,NRG Energy,,81.32
15,Corning Inc.,,81.08
16,Howmet Aerospace,,80.29
17,Supermicro,,79.86
18,"Tapestry, Inc.",,79.31
19,Amphenol,,79.18
20,GE Vernova,,77.95
21,Monolithic Power Systems,,73.85
22,AppLovin Corporation,,70.66
23,Oracle Corporation,,65.12
24,Constellation Energy,,60.38
25,TE Connectivity,,59.63
26,Paramount Skydance Corp,,57.84
27,DoorDash,,56.17
28,Uber,,54.23
29,Idexx Laboratories,,54.1
30,eBay,,53.32
31,Huntington Ingalls Industries,,52.16
32,"EMCOR Group, Inc.",,52
33,Interactive Brokers Group,,50.04
34,RTX Corporation,,49.53
35,Broadcom,,47.8
36,CrowdStrike,,47.28
37,Cencora,,46.35
38,Ralph Lauren Corporation,,45.03
39,Caterpillar Inc.,,44.63
40,HCA Healthcare,,43.93
41,United Rentals,,42.28
42,Aptiv,,41.52
43,Take-Two Interactive,,41.4
44,Johnson Controls,,40.86
45,Wynn Resorts,,40.59
46,Jabil,,39.76
47,Citigroup,,39.58
48,Netflix,,39.27
49,BNY Mellon,,39.27
50,Dollar General,,39.16
51,L3Harris,,39.01
52,Applied Materials,,38.97
53,Welltower,,38.95
54,Quanta Services,,38.41
55,McKesson Corporation,,38.14
56,Allegion,,37.34
57,Royal Caribbean Group,,37.32
58,Electronic Arts,,37.08
59,Coinbase Global,,36.38
60,Vistra Corp.,,35.29
61,Nvidia,,34.9
62,Steel Dynamics,,34.85
63,Gilead Sciences,,34.33
64,Cardinal Health,,34.17
65,Leidos,,34.08
66,Hasbro,,33.84
67,Johnson & Johnson,,32.68
68,Goldman Sachs,,32.55
69,Alphabet Inc. (Class A),,32.31
70,Dollar Tree,,32.04
71,Arista Networks,,32.04
